logk logPk493 logPk424 logPk373 logPk333 logPk300 logPk197 logPk103 logPk052 logPk023 logPk002 logPk000
-3.3010299956639813 -1.0523153362608831e-22 -2.6307883406522077e-23 0.0 -6.576970851630519e-24 -6.57697085163052e-23 0.0 0.0 5.2615766813044155e-23 -1.0523153362608831e-22 0.0 2.1046306725217662e-22
-3.135943223688732 3.4700162886486426e-07 8.17082807658941e-07 0.0 1.864567081722932e-07 3.1909263516299763e-07 0.0 -3.588589788093687e-07 -6.821811777794696e-07 -1.0312362641538392e-06 -1.210155175978836e-06 -1.2253100315355955e-06
-2.970856451713483 -1.487806225557583e-07 -3.5033290535488403e-07 0.0 -7.994528790057869e-08 -1.3681434599546748e-07 0.0 1.538645868944166e-07 2.9249240315634537e-07 4.42153467362066e-07 5.188668452657991e-07 5.253646500509024e-07
-2.805769679738234 -1.2509622344663196e-06 -2.945633823555063e-06 0.0 -6.721879117670755e-07 -1.1503485940139584e-06 0.0 1.2937087109884921e-06 2.4593051429110506e-06 3.7176702181158387e-06 4.362683910002696e-06 4.417318097260877e-06
-2.6406829077629848 1.724190745353132e-06 4.0599423690352515e-06 0.0 9.264709554573276e-07 1.585515809416115e-06 0.0 -1.7831078550670292e-06 -3.3896396314598533e-06 -5.12403365005253e-06 -6.013050606389201e-06 -6.088352448007641e-06
-2.4755961357877356 1.0598830887170979e-05 2.4957008206334922e-05 0.0 5.695140752397885e-06 9.74637752709642e-06 0.0 -1.096100223271463e-05 -2.0836567716837742e-05 -3.1498119487909126e-05 -3.696302550334539e-05 -3.742591598513079e-05
-2.3105093638124865 1.1260914472028142e-05 2.6516012745275184e-05 0.0 6.050902557237867e-06 1.0355210391891163e-05 0.0 -1.1645709794248341e-05 -2.2138178205479596e-05 -3.34657315848298e-05 -3.9272017192423455e-05 -3.976382333413768e-05
-2.145422591837238 -1.6265362526424056e-05 -3.829995877586165e-05 0.0 -8.739976131602254e-06 -1.4957155698134726e-05 0.0 1.6821164227070176e-05 3.197657659874337e-05 4.83381929408456e-05 5.67248422288816e-05 5.743521128528233e-05
-1.9803358198619885 -7.212484952892189e-05 -0.00016983198248334659 0.0 -3.875532822303273e-05 -6.632392006978487e-05 0.0 7.45894188837024e-05 0.00014179246062838612 0.0002143441246203176 0.00025153270968682087 0.00025468267091391747
-1.8152490478867394 -0.00015631754653546516 -0.0003680800583771793 0.0 -8.399515371705346e-05 -0.00014374508272305914 0.0 0.00016165905417564816 0.00030730947388344835 0.0004645520634535857 0.0005451515851813938 0.0005519785555517672
-1.6501622759114902 -0.000268843453546054 -0.0006330441864573599 0.0 -0.0001444594526136645 -0.00024722064365795764 0.0 0.00027803007010290755 0.0005285276163639302 0.0007989620094406502 0.0009375814687126008 0.0009493228651988319
-1.485075503936241 -0.00040970257056068834 -0.0009647243667238882 0.0 -0.00022014822491286582 -0.00037675060287448023 0.0 0.00042370246666548054 0.0008054468880698316 0.0012175739625815108 0.0014288223602804415 0.001446715599855111
-1.3199887319609922 -0.0005788948975793679 -0.0013631205991767638 0.0 -0.0003110614706146573 -0.0005323349603726268 0.0 0.0005986762438633668 0.001138067289001152 0.0017203879228761669 0.002018874259884915 0.002044156759520604
-1.154901959985743 -0.0007764204346020932 -0.0018282328838159878 0.0 -0.0004171991897190392 -0.0007139737161523977 0.0 0.0008029514016965668 0.0015263888191578924 0.0023074038903246196 0.002707737167526024 0.002741646344195313
-1.1031983023350782 -0.0008441100459153158 -0.0019876212355135806 0.0 -0.000453571301700798 -0.0007762191197770213 0.0 0.0008729540263854732 0.001659461908526795 0.0025085671589842548 0.002943802150156388 0.002980667584655073
-0.8556749215995118 -0.0007725370822787975 -0.0018158680750271327 -0.0004934230584587744 -0.0002754801753663253 -0.001058538191515116 -0.00013091016885958978 0.0007792949803663458 0.001592544193841679 0.0024283790537888077 0.0028283116677056755 0.002862186907245892
-0.7075667017559785 -0.0004383492493296423 -0.0015473691496542203 -0.0002805066991773732 5.877183605998463e-05 -0.0007533297325193763 0.00022409416488087096 0.0010858411781605917 0.0019032838890384166 0.002676626231024344 0.0029505723715568233 0.0029737762584335875
-0.5929491851957496 -0.000710647705146342 -0.0017384319181758224 -0.0005660035753611825 -0.00018925568744999384 -0.0009678774147776187 -8.868582467063063e-05 0.0007353068180598728 0.0016755783189705393 0.0026046854701226247 0.0028999522490094198 0.002924962044447452
-0.49419906805049896 -0.0010695032224082445 -0.002082380435468087 -0.0008672402121076911 -0.0005208089056174115 -0.0013582324812710651 -0.00047095669152609075 0.0003501357207368969 0.001642403130363903 0.0027381863940457263 0.0029876143687988994 0.003008741508968946
-0.41509236096438423 -0.0007129923006661493 -0.00183887456275111 -0.0006584683985869533 -0.00040367303043360416 -0.0012468845549324845 -0.0005476273164647776 -0.0001686049938537856 0.0011144166405293232 0.002229926543519011 0.0022855325840122273 0.0022902425473311535
-0.3523334616717867 -0.0014727497501405462 -0.002609707672109238 -0.0013605913306123792 -0.0010024535771344897 -0.0018340775029241326 -0.0009448190230160352 -0.0005407544184857395 0.0011581836483142319 0.0026915894365177636 0.0028483722084170584 0.002861652080498138
-0.2974316141700755 -0.0014936300768036445 -0.002577825486689322 -0.0013349924011130242 -0.0009444610070242616 -0.0017609243847948 -0.0007235352202168028 -0.000686878547342922 0.0006820105435972065 0.0025094616391583965 0.002719350242994325 0.0027371283048084625
-0.24481141439167498 -0.0025085087329290183 -0.003788147357130863 -0.0025356062661691637 -0.0022205472695993812 -0.003172986877594665 -0.00200439662873075 -0.001599024199272203 0.000286668600066787 0.002176294271577658 0.001965305606165887 0.0019474343665310519
